DevOps
DevSecOps
Delivery Platform
Jenkins
Vagrant
Consul
Docker
Puppet Enterprise
Spinnaker
Travis-CI
Kubernetes
Graylog
UpGuard
PagerDuty
Prometheus
Ganglia
QuerySurge
Buddy
Basis Technologies
TestRail
Snort
Splunk
Nagios
Chef
Sumo Logic
OverOps
Stackify Retrace
CFEngine
Artifactory
Capistrano
Monit
Supervisor
Ansible
Code Climate
Icinga
New Relic APM
Juju
ProductionMap
Scalyr
Rudder
Bash
ELK
Wireguard
OpenStack
Ubuntu
